当地时间 北京	T	Po	P	Pa	U
16.12.2009 08:00	-6.2	772.0	775.3		31
16.12.2009 02:00	-6.2	772.5	775.6		45
15.12.2009 20:00	-3.2	772.9	776.1		29
15.12.2009 14:00	0.5	772.7	775.9		12
15.12.2009 08:00	-5.5	775.4	778.5		24
15.12.2009 02:00	-2.1	775.1	778.3		17
14.12.2009 20:00	1.5	772.7	775.9		34
14.12.2009 14:00	2.8	771.4	774.6		20
14.12.2009 08:00	-4.3	772.6	775.8		80
14.12.2009 02:00	-3.4	770.2	773.4		77
13.12.2009 20:00	-0.8	768.2	771.4		47
13.12.2009 14:00	4.5	766.6	769.7		21
13.12.2009 08:00	-2.1	768.3	771.4		42
13.12.2009 02:00	0.1	768.1	771.2		34
12.12.2009 20:00	1.4	768.7	771.8		29
12.12.2009 14:00	2.7	767.8	770.9		19
12.12.2009 08:00	-4.6	771.2	774.4		32
12.12.2009 02:00	-2.4	770.6	773.7		24
11.12.2009 20:00	2.0	769.6	772.7		18
11.12.2009 14:00	2.8	766.4	769.4		21
11.12.2009 08:00	2.6	764.4	767.5		29
11.12.2009 02:00	1.0	761.6	764.6		82
10.12.2009 20:00	2.1	761.4	764.5		76
10.12.2009 14:00	2.3	759.7	762.8		73
10.12.2009 08:00	0.9	761.6	764.7		80
10.12.2009 02:00	1.6	762.4	765.5		80
09.12.2009 20:00	2.7	764.4	767.5		82
09.12.2009 14:00	3.7	764.0	767.0		60
09.12.2009 08:00	-1.2	766.3	769.4		74
09.12.2009 02:00	-1.8	766.6	769.6		72
08.12.2009 20:00	1.5	766.2	769.4		57
08.12.2009 14:00	9.3	765.2	768.3		26
08.12.2009 08:00	-3.8	766.8	770.0		89
08.12.2009 02:00	-3.6	766.0	769.1		84
07.12.2009 20:00	-1.1	765.4	768.5		74
07.12.2009 14:00	1.8	765.4	768.6		56
07.12.2009 08:00	-3.6	767.0	770.2		66
07.12.2009 02:00	-3.6	767.2	770.4		71
06.12.2009 20:00	-1.2	766.4	769.6		61
06.12.2009 14:00	3.6	765.0	768.2		33
06.12.2009 08:00	-4.7	766.0	769.2		56
06.12.2009 02:00	-3.8	765.3	768.4		51
05.12.2009 20:00	-0.8	764.1	767.2		42
05.12.2009 14:00	3.4	762.2	765.2		21
05.12.2009 08:00	-4.5	764.2	767.4		31
05.12.2009 02:00	-4.2	765.4	768.5		27
04.12.2009 20:00	-0.8	764.6	767.8		19
04.12.2009 14:00	5.3	759.1	762.2		30
04.12.2009 08:00	-0.9	759.2	762.2		78
04.12.2009 02:00	-1.6	761.0	764.1		87
03.12.2009 20:00	0.9	763.4	766.6		75
03.12.2009 14:00	5.1	765.1	768.2		36
03.12.2009 08:00	-2.4	768.7	771.8		59
03.12.2009 02:00	-0.7	769.6	772.7		43
02.12.2009 20:00	4.4	769.0	772.1		30
02.12.2009 08:00	-0.6	766.3	769.4		95
02.12.2009 02:00	-0.5	766.4	769.4		94
01.12.2009 20:00	0.0	765.8	769.0		87
01.12.2009 14:00	8.2	765.7	768.8		44
01.12.2009 08:00	-0.7	767.6	770.7		76
01.12.2009 02:00	-1.0	766.6	769.6		89
30.11.2009 20:00	3.6	765.8	768.9		72
30.11.2009 14:00	9.6	764.6	767.7		40
30.11.2009 08:00	-1.0	766.1	769.2		85
30.11.2009 02:00	-0.6	765.7	768.8		83
29.11.2009 20:00	2.9	765.8	768.9		71
29.11.2009 14:00	7.4	765.4	768.5		45
29.11.2009 08:00	-2.5	767.8	770.9		96
29.11.2009 02:00	-0.5	768.0	771.2		92
28.11.2009 20:00	0.8	769.4	772.5		86
28.11.2009 14:00	3.3	769.7	772.9		62
28.11.2009 08:00	-2.6	773.0	776.2		82
28.11.2009 02:00	-1.7	772.9	776.0		92
27.11.2009 20:00	1.8	773.3	776.5		79
27.11.2009 14:00	6.3	772.6	775.7		27
27.11.2009 08:00	-0.2	773.8	776.9		82
27.11.2009 02:00	0.9	770.9	774.0		85
26.11.2009 20:00	1.4	767.1	770.2		83
26.11.2009 14:00	4.9	764.0	767.1		66
26.11.2009 08:00	1.6	765.2	768.2		79
26.11.2009 02:00	1.8	764.4	767.5		78
25.11.2009 20:00	3.2	764.9	768.0		75
25.11.2009 14:00	3.0	765.7	768.8		86
25.11.2009 08:00	1.6	766.4	769.4		53
25.11.2009 02:00	3.4	764.0	767.1		44
24.11.2009 20:00	9.6	761.5	764.5		27
24.11.2009 14:00	9.8	757.9	760.9		44
24.11.2009 08:00	4.4	759.6	762.7		66
24.11.2009 02:00	3.3	760.7	763.7		73
23.11.2009 20:00	1.9	761.9	765.0		74
23.11.2009 14:00	8.9	761.6	764.7		33
23.11.2009 08:00	-0.7	763.6	766.7		69
23.11.2009 02:00	-2.1	762.5	765.6		79
22.11.2009 20:00	2.5	762.0	765.1		51
22.11.2009 14:00	7.3	760.6	763.7		32
22.11.2009 08:00	-3.7	762.8	765.9		79
22.11.2009 02:00	-2.9	762.4	765.4		70
21.11.2009 20:00	-0.7	763.6	766.7		51
21.11.2009 14:00	5.2	764.9	768.0		26
21.11.2009 08:00	-4.2	769.8	773.0		54
21.11.2009 02:00	-3.5	771.8	774.9		49
20.11.2009 20:00	2.1	774.0	777.2		22
20.11.2009 14:00	4.5	772.5	775.6		16
20.11.2009 08:00	2.3	772.1	775.3		29
20.11.2009 02:00	-3.2	771.3	774.4		60
19.11.2009 20:00	-0.4	771.9	775.0		43
19.11.2009 14:00	3.0	772.6	775.7		25
19.11.2009 08:00	-2.3	774.8	777.9		35
19.11.2009 02:00	-0.9	773.0	776.1		30
18.11.2009 20:00	2.4	771.1	774.2		25
18.11.2009 14:00	5.5	768.2	771.4		22
18.11.2009 08:00	-4.0	770.1	773.2		66
18.11.2009 02:00	-4.6	769.9	773.0		62
17.11.2009 20:00	0.0	770.4	773.6		29
17.11.2009 14:00	3.5	770.8	773.9		21
17.11.2009 08:00	-2.0	774.1	777.2		34
17.11.2009 02:00	-2.0	774.9	778.0		30
16.11.2009 20:00	-0.9	775.4	778.5		28
16.11.2009 14:00	0.1	775.2	778.4		24
16.11.2009 08:00	-3.5	777.2	780.4		30
16.11.2009 02:00	-3.7	775.9	779.0		35
15.11.2009 20:00	-1.9	774.3	777.4		31
15.11.2009 14:00	0.4	771.3	774.4		25
15.11.2009 08:00	-3.6	772.6	775.8		31
15.11.2009 02:00	-2.7	770.4	773.6		32
14.11.2009 20:00	-0.4	769.1	772.3		32
14.11.2009 14:00	3.4	767.0	770.0		26
14.11.2009 08:00	0.0	768.2	771.4		34
14.11.2009 02:00	1.6	766.7	769.8		42
13.11.2009 20:00	1.5	765.8	769.0		79
13.11.2009 14:00	4.4	765.3	768.4		59
13.11.2009 08:00	-1.3	767.4	770.6		91
13.11.2009 02:00	-1.8	767.9	771.1		92
12.11.2009 20:00	-0.3	769.5	772.6		84
12.11.2009 14:00	-0.2	769.9	773.0		87
12.11.2009 08:00	-0.1	772.6	775.8		87
12.11.2009 02:00	2.9	772.5	775.6		42
11.11.2009 20:00	3.0	773.0	776.2		35
11.11.2009 14:00	3.5	771.5	774.6		28
11.11.2009 08:00	1.3	772.4	775.5		28
11.11.2009 02:00	2.1	771.0	774.2		41
10.11.2009 20:00	1.7	770.2	773.4		48
10.11.2009 14:00	2.9	767.6	770.8		30
10.11.2009 02:00	-2.1	768.2	771.3		91
09.11.2009 20:00	-0.5	767.5	770.6		78
09.11.2009 14:00	1.0	766.6	769.6		73
09.11.2009 08:00	4.9	766.6	769.6		46
09.11.2009 02:00	8.7	764.0	767.0		43
08.11.2009 20:00	9.9	762.5	765.5		45
08.11.2009 14:00	11.1	760.3	763.3		58
08.11.2009 08:00	9.4	759.3	762.3		82
08.11.2009 02:00	6.8	756.4	759.3		93
07.11.2009 20:00	9.5	754.7	757.7		84
07.11.2009 14:00	15.2	752.5	755.4		58
07.11.2009 08:00	4.4	754.1	757.1		96
07.11.2009 02:00	4.5	753.6	756.6		93
06.11.2009 20:00	8.3	754.2	757.2		86
06.11.2009 14:00	14.2	753.7	756.7		58
06.11.2009 08:00	4.7	756.2	759.2		92
06.11.2009 02:00	4.9	757.0	760.0		92
05.11.2009 20:00	7.8	758.2	761.2		80
05.11.2009 14:00	16.3	759.1	762.1		40
05.11.2009 08:00	2.5	762.4	765.4		89
05.11.2009 02:00	1.9	763.0	766.0		88
04.11.2009 20:00	6.6	762.9	766.0		72
04.11.2009 14:00	12.9	762.2	765.2		35
04.11.2009 08:00	0.6	764.2	767.3		82
04.11.2009 02:00	-0.7	764.4	767.5		87
03.11.2009 20:00	3.1	764.8	767.9		67
03.11.2009 14:00	6.5	765.4	768.5		37
03.11.2009 08:00	-2.2	769.3	772.4		76
03.11.2009 02:00	-2.0	771.2	774.4		65
02.11.2009 20:00	-0.4	773.8	776.9		53
02.11.2009 14:00	1.8	776.6	779.7		33
02.11.2009 08:00	-2.4	780.7	783.9		36
02.11.2009 02:00	-2.8	780.2	783.4		33
01.11.2009 20:00	-0.4	777.4	780.5		31
01.11.2009 14:00	0.3	772.3	775.4		92
01.11.2009 08:00	-0.4	770.2	773.2		94
01.11.2009 02:00	0.7	768.4	771.4		94
31.10.2009 20:00	8.1	767.0	770.1		65
31.10.2009 14:00	13.7	764.1	767.1		39
31.10.2009 08:00	5.7	765.0	768.1		79
31.10.2009 02:00	5.5	763.9	766.9		91
30.10.2009 20:00	6.3	765.6	768.6		83
30.10.2009 14:00	10.6	764.9	767.9		32
30.10.2009 08:00	11.6	766.2	769.2		40
30.10.2009 02:00	12.8	764.1	767.0		68
29.10.2009 20:00	13.9	760.5	763.5		67
29.10.2009 14:00	22.2	759.0	761.9		32
29.10.2009 08:00	10.8	760.6	763.6		91
29.10.2009 02:00	10.1	759.2	762.2		91
28.10.2009 20:00	12.6	758.8	761.8		85
28.10.2009 14:00	17.9	758.0	760.9		60
28.10.2009 08:00	12.1	759.8	762.7		86
28.10.2009 02:00	10.3	759.7	762.6		90
27.10.2009 20:00	12.8	759.9	762.9		73
27.10.2009 14:00	17.6	760.2	763.1		52
27.10.2009 08:00	10.3	763.4	766.4		62
27.10.2009 02:00	9.9	762.8	765.8		84
26.10.2009 20:00	12.8	761.8	764.8		34
26.10.2009 14:00	19.6	760.8	763.7		16
26.10.2009 08:00	15.5	762.4	765.4		32
26.10.2009 02:00	12.3	759.9	762.8		71
25.10.2009 20:00	14.2	760.5	763.4		75
25.10.2009 14:00	19.7	758.2	761.1		48
25.10.2009 08:00	12.1	760.0	763.0		85
25.10.2009 02:00	12.3	759.0	761.9		88
24.10.2009 20:00	15.1	757.8	760.7		76
24.10.2009 14:00	20.8	756.8	759.8		47
24.10.2009 08:00	11.9	758.7	761.6		74
24.10.2009 02:00	12.1	758.4	761.3		72
23.10.2009 20:00	14.7	758.3	761.2		60
23.10.2009 14:00	20.6	757.8	760.7		38
23.10.2009 08:00	10.6	760.4	763.3		85
23.10.2009 02:00	11.0	759.5	762.4		62
22.10.2009 20:00	17.2	758.9	761.8		40
22.10.2009 14:00	24.0	758.2	761.2		18
22.10.2009 08:00	12.4	760.6	763.5		69
22.10.2009 02:00	11.0	759.8	762.8		79
21.10.2009 20:00	15.5	759.4	762.3		34
21.10.2009 14:00	19.7	760.0	763.0		20
21.10.2009 08:00	10.3	763.7	766.7		52
21.10.2009 02:00	9.8	762.1	765.0		39
20.10.2009 20:00	15.9	759.4	762.4		18
20.10.2009 14:00	19.4	755.5	758.4		20
20.10.2009 08:00	6.4	756.8	759.8		52
20.10.2009 02:00	6.0	757.7	760.7		50
19.10.2009 20:00	10.6	757.5	760.5		25
19.10.2009 14:00	15.2	756.8	759.8		14
19.10.2009 08:00	8.1	759.6	762.6		21
19.10.2009 02:00	7.9	757.4	760.4		17
18.10.2009 20:00	10.9	755.8	758.8		20
18.10.2009 14:00	19.5	748.1	751.0		23
18.10.2009 08:00	10.3	750.3	753.2		63
18.10.2009 02:00	9.3	751.4	754.3		69
17.10.2009 20:00	16.6	752.1	755.0		30
17.10.2009 14:00	21.6	752.5	755.3		16
17.10.2009 08:00	12.4	755.3	758.2		32
17.10.2009 02:00	13.0	755.2	758.2		29
16.10.2009 20:00	15.4	754.9	757.8		26
16.10.2009 14:00	20.1	752.2	755.2		19
16.10.2009 08:00	13.9	752.7	755.6		68
16.10.2009 02:00	12.5	753.4	756.2		70
15.10.2009 20:00	19.1	755.7	758.6		41
15.10.2009 14:00	25.6	756.9	759.8		17
15.10.2009 08:00	14.1	759.9	762.8		54
15.10.2009 02:00	10.9	759.4	762.3		62
14.10.2009 20:00	17.5	759.7	762.6		30
14.10.2009 14:00	24.7	760.1	763.0		12
14.10.2009 08:00	16.2	763.2	766.1		26
14.10.2009 02:00	11.1	762.6	765.5		48
13.10.2009 20:00	18.6	761.5	764.4		21
13.10.2009 14:00	22.7	760.8	763.7		16
13.10.2009 08:00	15.6	761.8	764.8		32
13.10.2009 02:00	15.0	761.1	764.0		39
12.10.2009 20:00	16.9	760.3	763.2		49
12.10.2009 14:00	21.8	759.6	762.5		44
12.10.2009 08:00	13.0	762.8	765.7		89
12.10.2009 02:00	13.6	763.0	766.0		81
11.10.2009 20:00	15.3	764.1	767.0		74
11.10.2009 14:00	18.3	764.0	767.0		57
11.10.2009 08:00	14.0	766.0	768.9		75
11.10.2009 02:00	13.6	765.3	768.2		79
10.10.2009 20:00	16.4	764.8	767.8		64
10.10.2009 14:00	20.4	764.3	767.2		41
10.10.2009 08:00	13.5	765.6	768.6		63
10.10.2009 02:00	11.7	764.2	767.1		77
09.10.2009 20:00	14.7	762.8	765.8		60
09.10.2009 14:00	19.9	761.7	764.6		37
09.10.2009 08:00	14.2	762.8	765.8		62
09.10.2009 02:00	13.5	761.0	764.0		60
08.10.2009 20:00	15.7	760.3	763.2		52
08.10.2009 14:00	18.6	759.4	762.3		43
08.10.2009 08:00	14.5	760.7	763.6		60
08.10.2009 02:00	14.0	761.2	764.1		60
07.10.2009 20:00	15.5	762.1	765.0		36
07.10.2009 14:00	19.1	762.9	765.8		22
07.10.2009 08:00	12.5	766.3	769.3		71
07.10.2009 02:00	10.8	765.4	768.4		67
06.10.2009 20:00	14.2	764.3	767.2		57
06.10.2009 14:00	21.2	763.5	766.4		28
06.10.2009 08:00	16.8	764.1	767.0		30
06.10.2009 02:00	15.4	759.9	762.8		55
05.10.2009 20:00	19.0	756.9	759.8		39
05.10.2009 17:00	25.2		758.8		18
05.10.2009 14:00	25.8	756.5	759.4		17
05.10.2009 08:00	13.8	759.3	762.2		58
05.10.2009 02:00	13.0	759.2	762.2		45
04.10.2009 20:00	17.0	759.4	762.4		32
04.10.2009 14:00	22.2	760.2	763.1		15
04.10.2009 08:00	16.7	762.5	765.4		29
04.10.2009 02:00	13.2	759.0	761.9		57
03.10.2009 20:00	17.7	756.8	759.7		33
03.10.2009 14:00	23.3	756.9	759.8		16
03.10.2009 08:00	18.3	759.7	762.5		25
03.10.2009 02:00	19.2	758.4	761.2		20
02.10.2009 20:00	22.6	756.6	759.4		15
02.10.2009 14:00	26.3	756.2	759.0		19
02.10.2009 08:00	18.4	760.3	763.1		40
02.10.2009 02:00	13.7	760.2	763.0		53
01.10.2009 20:00	23.5	758.9	761.8		22
01.10.2009 14:00	28.0	757.3	760.1		23
01.10.2009 08:00	20.3	758.6	761.4		87
01.10.2009 02:00	19.7	758.0	760.8		91
30.09.2009 20:00	20.3	758.3	761.2		86
30.09.2009 14:00	21.3	758.7	761.6		81
30.09.2009 08:00	18.7	761.0	763.9		92
30.09.2009 02:00	18.8	760.8	763.6		89
29.09.2009 14:00	21.7	761.5	764.4		76
29.09.2009 08:00	18.3	762.8	765.7		92
29.09.2009 02:00	18.3	761.8	764.7		85
28.09.2009 20:00	21.3	761.2	764.1		48
28.09.2009 14:00	26.7	760.3	763.1		22
28.09.2009 08:00	18.4	761.7	764.6		84
28.09.2009 02:00	17.4	760.4	763.3		91
27.09.2009 20:00	20.7	759.4	762.3		80
27.09.2009 14:00	23.8	758.2	761.1		64
27.09.2009 08:00	18.5	759.7	762.5		88
27.09.2009 02:00	18.9	759.4	762.3		89
26.09.2009 20:00	20.9	759.3	762.2		82
26.09.2009 14:00	20.8	759.0	761.8		79
26.09.2009 08:00	19.3	760.4	763.3		90
26.09.2009 02:00	20.4	759.7	762.5		87
25.09.2009 20:00	22.6	759.4	762.2		79
25.09.2009 14:00	25.8	758.3	761.2		63
25.09.2009 08:00	19.3	759.5	762.4		89
25.09.2009 02:00	19.3	758.0	760.9		87
24.09.2009 20:00	23.2	758.0	760.8		68
24.09.2009 14:00	24.9	757.9	760.7		56
24.09.2009 08:00	17.9	760.3	763.2		78
24.09.2009 02:00	18.0	759.1	761.9		82
23.09.2009 20:00	20.8	758.5	761.4		63
23.09.2009 14:00	26.5	757.0	759.9		20
23.09.2009 08:00	16.7	757.6	760.6		68
23.09.2009 02:00	15.5	755.2	758.0		70
22.09.2009 20:00	20.7	755.2	758.1		47
22.09.2009 14:00	26.3	755.6	758.5		29
22.09.2009 08:00	15.0	758.4	761.3		67
22.09.2009 02:00	13.3	757.6	760.4		69
21.09.2009 20:00	20.2	757.4	760.2		36
21.09.2009 14:00	25.8	756.6	759.4		15
21.09.2009 08:00	19.7	758.0	761.0		24
21.09.2009 02:00	13.0	757.4	760.4		82
20.09.2009 20:00	16.8	757.5	760.4		60
20.09.2009 14:00	21.0	758.0	760.8		30
20.09.2009 08:00	13.2	760.4	763.3		66
20.09.2009 02:00	19.6	757.7	760.6		47
19.09.2009 20:00	21.8	755.8	758.7		81
19.09.2009 14:00	22.4	756.4	759.2		72
19.09.2009 08:00	18.8	758.4	761.2		78
19.09.2009 02:00	19.6	759.0	761.8		75
18.09.2009 20:00	22.1	759.7	762.5		68
18.09.2009 14:00	23.2	759.7	762.5		65
18.09.2009 08:00	20.3	760.2	763.0		85
18.09.2009 02:00	20.7	757.8	760.6		88
17.09.2009 20:00	23.7	756.1	758.9		70
17.09.2009 14:00	26.9	754.7	757.6		54
17.09.2009 02:00	19.2	754.2	757.0		74
16.09.2009 20:00	23.5	753.4	756.3		70
16.09.2009 14:00	26.6	754.0	756.9		62
16.09.2009 08:00	19.3	756.4	759.2		85
16.09.2009 02:00	18.7	755.9	758.8		73
15.09.2009 20:00	24.0	755.4	758.2		40
15.09.2009 14:00	29.7	755.2	758.1		19
15.09.2009 08:00	21.3	757.3	760.1		37
15.09.2009 02:00	16.9	755.9	758.8		83
14.09.2009 20:00	23.8	754.6	757.5		64
14.09.2009 14:00	26.9	753.6	756.4		50
14.09.2009 08:00	18.7	756.0	758.8		83
14.09.2009 02:00	20.4	755.1	758.0		63
13.09.2009 20:00	22.3	756.1	758.9		52
13.09.2009 14:00	27.5	756.6	759.4		24
13.09.2009 08:00	18.7	758.7	761.6		63
13.09.2009 02:00	17.0	757.3	760.1		66
12.09.2009 20:00	22.7	756.8	759.6		39
12.09.2009 14:00	29.2	757.0	759.8		20
12.09.2009 08:00	22.7	758.9	761.8		28
12.09.2009 02:00	21.9	756.6	759.4		24
11.09.2009 20:00	22.5	755.4	758.2		28
11.09.2009 14:00	28.5	752.4	755.2		20
11.09.2009 08:00	17.8	754.6	757.5		78
11.09.2009 02:00	17.3	754.0	756.9		73
10.09.2009 20:00	21.2	755.2	758.1		51
10.09.2009 14:00	26.5	755.0	757.8		32
10.09.2009 08:00	21.0	757.1	760.0		58
10.09.2009 02:00	19.5	755.8	758.6		71
09.09.2009 20:00	22.7	756.4	759.3		53
09.09.2009 14:00	28.6	757.0	759.9		27
09.09.2009 08:00	17.3	759.4	762.3		72
09.09.2009 02:00	14.2	758.6	761.5		93
08.09.2009 20:00	18.6	757.9	760.8		72
08.09.2009 14:00	22.3	758.5	761.3		32
08.09.2009 08:00	18.6	759.9	762.8		64
08.09.2009 02:00	16.1	758.6	761.6		81
07.09.2009 20:00	17.9	758.2	761.1		65
07.09.2009 14:00	20.5	758.7	761.6		46
07.09.2009 08:00	16.0	760.0	763.0		82
07.09.2009 02:00	14.8	758.3	761.2		90
06.09.2009 20:00	15.3	758.8	761.7		83
06.09.2009 14:00	15.8	758.9	761.8		78
06.09.2009 08:00	16.9	758.4	761.2		68
06.09.2009 02:00	19.3	755.9	758.8		87
05.09.2009 20:00	25.0	753.3	756.2		69
05.09.2009 14:00	25.2	751.9	754.7		78
05.09.2009 08:00	22.8	752.5	755.3		90
05.09.2009 02:00	22.3	752.3	755.2		92
04.09.2009 20:00	23.2	752.5	755.3		90
04.09.2009 14:00	23.5	752.6	755.5		88
04.09.2009 08:00	23.0	754.1	757.0		90
04.09.2009 02:00	23.6	755.2	758.0		85
03.09.2009 20:00	25.3	756.2	759.1		68
03.09.2009 14:00	27.8	756.2	759.1		55
03.09.2009 08:00	21.8	757.7	760.6		76
03.09.2009 02:00	20.5	757.6	760.5		86
02.09.2009 20:00	23.2	757.8	760.6		73
02.09.2009 14:00	26.1	757.5	760.4		55
02.09.2009 08:00	20.4	758.1	761.0		81
02.09.2009 02:00	21.1	757.8	760.6		75
01.09.2009 20:00	23.9	757.4	760.3		61
01.09.2009 14:00	27.5	757.2	760.0		44
01.09.2009 08:00	20.4	758.6	761.4		76
01.09.2009 02:00	19.4	757.0	759.8		79
31.08.2009 20:00	24.1	756.7	759.5		66
31.08.2009 14:00	26.4	757.1	760.0		56
31.08.2009 08:00	19.0	758.0	760.9		75
31.08.2009 02:00	18.3	756.9	759.8		79
30.08.2009 20:00	23.0	757.1	760.0		60
30.08.2009 14:00	25.5	757.2	760.0		48
30.08.2009 08:00	17.3	759.4	762.4		76
30.08.2009 02:00	16.7	759.4	762.2		75
29.08.2009 20:00	20.0	759.7	762.5		57
29.08.2009 14:00	25.0	760.6	763.5		36
29.08.2009 08:00	20.0	761.6	764.5		69
29.08.2009 02:00	19.5	761.4	764.2		69
28.08.2009 20:00	23.7	759.0	761.8		40
28.08.2009 14:00	27.4	758.0	760.9		21
28.08.2009 08:00	22.8	758.5	761.3		45
28.08.2009 02:00	23.2	754.8	757.6		51
27.08.2009 20:00	24.8	751.9	754.7		65
27.08.2009 14:00	29.7	750.5	753.3		27
27.08.2009 08:00	22.6	750.6	753.4		89
27.08.2009 02:00	22.3	749.8	752.6		88
26.08.2009 20:00	25.8	749.3	752.1		73
26.08.2009 14:00	29.8	749.4	752.2		55
26.08.2009 08:00	23.8	750.8	753.6		88
26.08.2009 02:00	23.1	751.1	753.9		89
25.08.2009 20:00	24.0	751.9	754.7		83
25.08.2009 14:00	25.1	752.3	755.2		75
25.08.2009 08:00	23.4	753.7	756.5		89
25.08.2009 02:00	23.8	754.2	757.0		86
24.08.2009 20:00	24.9	755.2	758.0		81
24.08.2009 14:00	26.5	756.6	759.4		70
24.08.2009 08:00	23.0	758.5	761.3		87
24.08.2009 02:00	23.3	757.4	760.1		79
23.08.2009 20:00	26.3	754.7	757.6		68
23.08.2009 14:00	30.1	755.0	757.8		54
23.08.2009 08:00	20.2	756.8	759.7		91
23.08.2009 02:00	19.6	755.2	758.1		90
22.08.2009 20:00	24.1	754.6	757.5		70
22.08.2009 14:00	27.8	755.0	757.8		42
22.08.2009 08:00	21.4	755.7	758.6		69
22.08.2009 02:00	21.3	754.5	757.3		66
21.08.2009 20:00	24.3	754.4	757.3		57
21.08.2009 14:00	30.8	754.1	756.9		23
21.08.2009 08:00	25.8	754.3	757.0		52
21.08.2009 02:00	25.1	753.0	755.8		76
20.08.2009 20:00	28.5	751.0	753.8		55
20.08.2009 14:00	33.0	751.8	754.6		33
20.08.2009 08:00	24.5	753.6	756.4		55
20.08.2009 02:00	21.0	752.8	755.6		68
19.08.2009 20:00	25.5	751.0	753.8		81
19.08.2009 14:00	25.9	750.3	753.1		75
19.08.2009 08:00	22.9	751.0	753.8		92
19.08.2009 02:00	24.8	752.3	755.1		84
18.08.2009 20:00	26.2	754.0	756.9		72
18.08.2009 14:00	28.1	754.4	757.2		62
18.08.2009 08:00	22.4	756.0	758.8		86
18.08.2009 02:00	22.6	754.7	757.6		83
17.08.2009 20:00	24.0	755.2	758.0		81
17.08.2009 14:00	25.5	754.6	757.5		75
17.08.2009 08:00	23.7	755.8	758.7		90
17.08.2009 02:00	23.3	755.1	757.9		87
16.08.2009 20:00	25.1	755.0	757.7		77
16.08.2009 14:00	30.3	754.1	756.9		71
16.08.2009 08:00	26.9	755.2	758.0		85
16.08.2009 02:00	27.1	754.4	757.1		77
15.08.2009 20:00	30.0	753.2	755.9		61
15.08.2009 14:00	32.5	752.6	755.4		50
15.08.2009 08:00	27.5	753.5	756.3		75
